target,redirectURL,title,generator,statewideAlerts,stateTemplate,JQuery,GoogleAnalytics,errorcode,errormessage
878,88,599,176,114,240,439,466,232,242
https://abag.ca.gov/,,Home | Association of Bay Area Governments,Drupal 10 (https://www.drupal.org),,,,"G-FE9WWP5YXX,UA-45890390-1",,
https://abcab.ca.gov/,,ABCAB | ABC Appeals Board,CAWeb v.1.11.0,,https://abcab.ca.gov/wp-content/themes/CAWeb/src/version-5.5/cagov.core.js?ver=1.11.0,https://abcab.ca.gov/wp-includes/js/jquery/jquery.min.js?ver=3.7.1,"G-69TD0KNT0F,G-XYBVW071M5,G-Y7T2KCM7P1,UA-20973992-10,UA-3419582-2,UA-3419582-47",,
https://abcappeals.ca.gov/,,,,,,,,ENOTFOUND,getaddrinfo ENOTFOUND abcappeals.ca.gov
https://abortion.ca.gov/,,California abortion access,,https://alert.cdt.ca.gov/,,,,,
https://access.ca.gov/,https://access.ca.gov/logon/LogonPoint/tmindex.html,NetScaler AAA,,,,https://access.ca.gov/logon/LogonPoint/receiver/js/external/jquery.min.js,,,
https://access2.ca.gov/,https://access2.ca.gov/logon/LogonPoint/tmindex.html,NetScaler AAA,,,,https://access2.ca.gov/logon/LogonPoint/receiver/js/external/jquery.min.js,,,
https://accessuat.ca.gov/,,,,,,,,UNABLE_TO_VERIFY_LEAF_SIGNATURE,unable to verify the first certificate
https://acupuncture.ca.gov/,,Welcome - California Acupuncture Board,,,,https://code.jquery.com/jquery-3.5.1.min.js,"G-69TD0KNT0F,G-CGS7Z07GXJ,GTM-NBQCVZC,UA-64276560-1",,
https://adopt-a-highway.dot.ca.gov/,https://dot.ca.gov/programs/maintenance,Maintenance | Caltrans,,https://alert.cdt.ca.gov/,https://dot.ca.gov/js/cagov.core.min.js,https://code.jquery.com/jquery-3.4.1.min.js,"G-69TD0KNT0F,G-PXR8P55JR4,G-WLDEF7NZZ2,GTM-573PLG9",,
https://ag.ca.gov/,,,,,,,,ENOTFOUND,getaddrinfo ENOTFOUND ag.ca.gov
https://agencyreports.ca.gov/,,Search for Agency Reports | California Agency Reports,,,,,,,
https://alpha.ca.gov/,,Welcome to Alpha.CA.gov,,,,,"G-5GGV1QPJD4,G-69TD0KNT0F",,
https://appportal.energy.ca.gov/,https://appportal.energy.ca.gov/Account/Login?ReturnUrl=%2Fdefault.aspx,Log in - California Energy Commission,,,https://appportal.energy.ca.gov/js/cagov.core.min.js,https://code.jquery.com/jquery-3.5.1.min.js,,,
https://apps.wildlife.ca.gov/,,Apps - California Department of Fish and Wildlife!,,,https://california.azureedge.net/cdt/statetemplate/5.5.17/js/cagov.core.js,https://code.jquery.com/jquery-3.5.1.min.js,G-2N4E4MK3J8,,
https://aquaculturematters.ca.gov/,,Aquaculture Matters,WordPress.com,,,,,,
https://arts.ca.gov/,,Home Page - California Arts Council,WordPress 6.4.2,,,https://arts.ca.gov/wp-includes/js/jquery/jquery.min.js?ver=3.7.1,G-YMHBQ8PVF6,,
https://askedd.edd.ca.gov/,https://askedd.edd.ca.gov/s/,AskEDD,,,,,"G-P1RJ1L0W4D,GTM-MCW7ZGX",,
https://auburn.ca.gov/,,"Auburn, CA | Official Website",,,,https://auburn.ca.gov/Assets/Scripts/jQuery/jquery-2.2.4.min.js,"G-1PL09BWVXS,GTM-K73C5PS,GTM-WKGQMK5",,
https://author.csd.ca.gov/,[login.microsoftonline.com],Sign in to your account,,,,,,,
https://avaqmd.ca.gov/,,Antelope Valley Air Quality Management District,,,,,,,
https://azure.fiscal.ca.gov/,,FI$Cal - State of California. One state. One system.|,Divi Child v.3.11.1.1533591462,https://alert.cdt.ca.gov/,,https://azure.fiscal.ca.gov/wp-includes/js/jquery/jquery.min.js?ver=3.7.1,"GTM-5TVLDSK,UA-3419582-2",,
https://babysafe.ca.gov/,https://www.cdss.ca.gov/inforesources/community-care-licensing,Community Care Licensing,DotNetNuke ,,https://www.cdss.ca.gov/Portals/_default/Skins/CaGov-SantaBarbara%20-%20Partner//js/cagov.core.js,https://www.cdss.ca.gov/Resources/libraries/jQuery/03_02_01/jquery.js?cdv=630,UA-77698819-4,,
https://barc.ca.gov/,,Home | Bay Area Regional Collaborative,Drupal 10 (https://www.drupal.org),,,,G-HSZD89JKDZ,,
https://bars.dre.ca.gov/,,Business Activity Reporting System - DRE,,,,https://bars.dre.ca.gov/Scripts/jquery-3.7.1.min.js,,,
https://bawa.ca.gov/,,,WordPress 6.5.4,,,https://bawa.ca.gov/wp-includes/js/jquery/jquery.min.js?ver=3.7.1,,,
https://bcc.ca.gov/,,,,,,,,ERR_TLS_CERT_ALTNAME_INVALID,"Hostname/IP does not match certificate's altnames: Host: bcc.ca.gov. is not in the cert's altnames: DNS:dca.ca.gov, DNS:cicwiki.dca.ca.gov, DNS:consumerwiki.dca.ca.gov, DNS:solid.dca.ca.gov, DNS:spapp.dca.ca.gov, DNS:www.cicwiki.dca.ca.gov, DNS:www.consumerwiki.dca.ca.gov, DNS:www.dca.ca.gov, DNS:www.solid.dca.ca.gov, DNS:www.spapp.dca.ca.gov, DNS:www2.dca.ca.gov"
https://beacon.ca.gov/,,BEACON | Beach Erosion Authority for Clean Oceans and Nourishment,Divi v.4.25.0,,,https://beacon.ca.gov/wp-includes/js/jquery/jquery.min.js?ver=3.7.1,,,
https://beta.calcareers.ca.gov/,,CalCareers,,https://alert.cdt.ca.gov/,,,"G-69TD0KNT0F,G-GVMXP4J73D",,
https://bhc.ca.gov/,,Baldwin Hills Conservancy,,https://alert.cdt.ca.gov/,https://bhc.ca.gov/js/cagov.core.js,https://ajax.googleapis.com/ajax/libs/jquery/3.2.1/jquery.min.js,"UA-3419582-2,UA-59627195-3",,
https://billing.technology.ca.gov/,https://billing.technology.ca.gov/login.aspx?ReturnUrl=%2f,Login,,,,,UA-3419582-2,,
https://blue.water.ca.gov/,https://blue.water.ca.gov/IntranetLogin/IntranetLogin.aspx?returnUrl=%2F,,,,,,,,
https://bluelake.ca.gov/,,"City of Blue Lake, CA - Blue Lake, California",,,,https://bluelake.ca.gov/wp-includes/js/jquery/jquery.min.js?ver=3.7.1,,,
https://bns.insurance.ca.gov/,[login.microsoftonline.com],Sign in to your account,,,,,G-0SIN3U5AMM,,
https://bof.fire.ca.gov/,,Board of Forestry and Fire Protection,,,,,"UA-12131957-13,UA-3419582-2",,
https://bopc.ca.gov/,,BOPC | Board of Pilot Commissioners,CAWeb v.1.11.0,,https://bopc.ca.gov/wp-content/themes/CAWeb/src/version-6.0/cagov.core.js?ver=1.11.0,https://bopc.ca.gov/wp-includes/js/jquery/jquery.min.js?ver=3.7.1,"G-69TD0KNT0F,G-FBMZL6F4H8,G-Y7T2KCM7P1,UA-20973992-11,UA-3419582-2,UA-3419582-47",,
https://broadbandcouncil.ca.gov/,,"California Broadband Council | The California Broadband Council was established by legislation in 2010 (S.B. 1462 – Padilla) to marshal the state’s resources to further the policy of increasing broadband network deployment, and eliminating the Digital Divide by expanding broadband accessibility, literacy, adoption, and usage.",CAWeb v.1.11.0,,https://broadbandcouncil.ca.gov/wp-content/themes/CAWeb/src/version-5.5/cagov.core.js?ver=1.11.0,https://broadbandcouncil.ca.gov/wp-includes/js/jquery/jquery.min.js?ver=3.7.1,"G-69TD0KNT0F,G-BM545KDPMZ,G-Y7T2KCM7P1,UA-21970760-37,UA-3419582-2,UA-3419582-47",,
https://broadbandforall.cdt.ca.gov/,,Homepage | Broadband for All,CAWeb v.1.11.0,,,https://broadbandforall.cdt.ca.gov/wp-includes/js/jquery/jquery.min.js?ver=3.7.1,"G-69TD0KNT0F,G-TL905X6EDW,G-Y7T2KCM7P1,GTM-NH6JP3T,UA-20973992-22,UA-3419582-2,UA-3419582-47",,
https://broadbandmap.ca.gov/,,California Interactive Broadband Map,,,,,,,
https://bsc.ca.gov/,,,,,,,,ERR_TLS_CERT_ALTNAME_INVALID,"Hostname/IP does not match certificate's altnames: Host: bsc.ca.gov. is not in the cert's altnames: DNS:www.dgs.ca.gov, DNS:dgs.ca.gov"
https://btbl.ca.gov/,,,,,,,,ERR_TLS_CERT_ALTNAME_INVALID,"Hostname/IP does not match certificate's altnames: Host: btbl.ca.gov. is not in the cert's altnames: DNS:websiteredirect.library.ca.gov, DNS:askus.library.ca.gov, DNS:cahomelessyouth.library.ca.gov, DNS:catalog.library.ca.gov, DNS:civilliberties.library.ca.gov, DNS:cohs.library.ca.gov, DNS:databases.library.ca.gov, DNS:elf2.library.ca.gov, DNS:events.library.ca.gov, DNS:harwood.library.ca.gov, DNS:imagination.library.ca.gov, DNS:pd.library.ca.gov, DNS:sutro.library.ca.gov, DNS:tutoring.library.ca.gov"
https://burnpermit.fire.ca.gov/,,Burn Permits | Burn Permits,,https://alert.cdt.ca.gov/,,https://burnpermit.fire.ca.gov/assets/js/jquery.cookie.js,"G-TCY9FCQZSL,UA-12131957-10,UA-3419582-2",,
https://business.ca.gov/,,California Governor’s Office of Business and Economic Development (GO-Biz),CAWeb v.1.5.2a,,,https://business.ca.gov/wp-includes/js/jquery/jquery.min.js?ver=3.7.1,"G-ZYTZPSRY9P,GTM-NNRL3QT",,
https://bvwd.ca.gov/,,Bear Valley Water District,,,,https://bvwd.ca.gov/themes/BVWD/js/jquery-migrate-1.2.1.js,,,
https://c2c.ca.gov/,,California Cradle-to-Career Data System | C2C,,,,https://c2c.ca.gov/wp-includes/js/jquery/jquery.min.js?ver=3.7.1,GTM-P7T6C5S,,
https://cacgn.ca.gov/,,CA Geo Naming (CACGN),,,,,"UA-12131957-14,UA-3419582-2",,
https://calable.ca.gov/,,Home - CalABLE,,,,,G-BH9XWR79GY,,
https://calcareers.ca.gov/,,CalCareers,,https://alert.cdt.ca.gov/,,,"G-69TD0KNT0F,G-GVMXP4J73D",,
https://calccrc.ca.gov/,https://www.cdss.ca.gov/inforesources/community-care/continuing-care,Continuing Care,DotNetNuke ,,https://www.cdss.ca.gov/Portals/_default/Skins/CaGov-SantaBarbara%20-%20Partner//js/cagov.core.js,https://www.cdss.ca.gov/Resources/libraries/jQuery/03_02_01/jquery.js?cdv=630,UA-77698819-4,,
https://calcivilrights.ca.gov/,,CRD | Civil Rights Department,CAWeb v.1.11.0,,https://calcivilrights.ca.gov/wp-content/themes/CAWeb/src/version-5.5/cagov.core.js?ver=1.11.0,https://calcivilrights.ca.gov/wp-includes/js/jquery/jquery.min.js?ver=3.7.1,"G-69TD0KNT0F,G-DMYWEFRNDX,G-Y7T2KCM7P1,UA-3419582-2,UA-3419582-47",,
https://calepa.ca.gov/,,CalEPA | California Environmental Protection Agency,CAWeb v.1.11.0,,https://calepa.ca.gov/wp-content/themes/CAWeb/src/version-5.5/cagov.core.js?ver=1.11.0,https://calepa.ca.gov/wp-includes/js/jquery/jquery.min.js?ver=3.7.1,"G-69TD0KNT0F,G-S80FZKCQYB,G-Y7T2KCM7P1,UA-3419582-2,UA-3419582-47",,
https://calepa.sites.ca.gov/,,calepa.sites.ca.gov |,CAWeb v.1.11.0,,https://calepa.sites.ca.gov/wp-content/themes/CAWeb/src/version-5.5/cagov.core.js?ver=1.11.0,https://calepa.sites.ca.gov/wp-includes/js/jquery/jquery.min.js?ver=3.7.1,"G-69TD0KNT0F,G-Y7T2KCM7P1,UA-3419582-2,UA-3419582-47",,
https://caleprocure.ca.gov/,,Page Redirection,,,,,"GTM-WTBNSTN,UA-3419582-2",,
https://calfreshhealthyliving.cdph.ca.gov/,https://calfreshhealthyliving.cdph.ca.gov/en/Pages/default.aspx,Home,Microsoft SharePoint,,,,GTM-KVN6ZCB,,
https://calgenetic.cdph.ca.gov/,https://sis2-prod.powerappsportals.us/homepage/,CalGenetic Home,,,,https://sis2-prod.powerappsportals.us/gdsp_jquery.min.js,"G-DYATOAOYNV,GTM-TSJC8P6",,
https://calguard.ca.gov/,,Cal Guard | Cal Guard,CAWeb v.1.11.0,,https://calguard.ca.gov/wp-content/themes/CAWeb/src/version-5.5/cagov.core.js?ver=1.11.0,https://calguard.ca.gov/wp-includes/js/jquery/jquery.min.js?ver=3.7.1,"G-568M73XK08,G-69TD0KNT0F,G-Y7T2KCM7P1,UA-21974567-37,UA-3419582-2,UA-3419582-47",,
https://californiansforall.ca.gov/,https://www.californiavolunteers.ca.gov/join-californiansforall/,Sign Up for #CaliforniansForAll | California Volunteers,CAWeb v.1.11.0,https://alert.cdt.ca.gov/alert.js?ver=1.0.0,https://www.californiavolunteers.ca.gov/wp-content/themes/CAWeb/src/version-5.5/cagov.core.js?ver=1.11.0,https://www.californiavolunteers.ca.gov/wp-includes/js/jquery/jquery.min.js?ver=3.7.1,"G-69TD0KNT0F,G-T935JFYNE2,G-Y7T2KCM7P1,GTM-TZDK45W,UA-23110710-36,UA-3419582-2,UA-3419582-47",,
https://californiasciencecenter.ca.gov/,,California Science Center | The California Science Center,Drupal 9 (https://www.drupal.org),,,,GTM-WQK76FQ,,
https://californiaunited.ca.gov/,https://www.californiavolunteers.ca.gov/join-californiansforall/,Sign Up for #CaliforniansForAll | California Volunteers,CAWeb v.1.11.0,https://alert.cdt.ca.gov/alert.js?ver=1.0.0,https://www.californiavolunteers.ca.gov/wp-content/themes/CAWeb/src/version-5.5/cagov.core.js?ver=1.11.0,https://www.californiavolunteers.ca.gov/wp-includes/js/jquery/jquery.min.js?ver=3.7.1,"G-69TD0KNT0F,G-T935JFYNE2,G-Y7T2KCM7P1,GTM-TZDK45W,UA-23110710-36,UA-3419582-2,UA-3419582-47",,
https://calnet.ca.gov/,https://cdt.ca.gov/services/calnet/,Network-CALNET - CDT Services,CAWeb v.1.11.0,,https://cdt.ca.gov/services/wp-content/themes/CAWeb/src/version-6.0/cagov.core.js?ver=1.11.0,https://cdt.ca.gov/services/wp-includes/js/jquery/jquery.min.js?ver=3.7.1,"G-69TD0KNT0F,G-LPLGX1HR9S,G-Y7T2KCM7P1,UA-20973992-22,UA-3419582-2,UA-3419582-47",,
https://calosba.ca.gov/,,The California Office of Small Business Advocate (CalOSBA),CAWeb v.1.5.2a,,,https://calosba.ca.gov/wp-includes/js/jquery/jquery.min.js?ver=3.7.1,"G-2KMN5NQW5J,G-TRANSPAREN",,
https://calpers.ca.gov/,,California Public Employees' Retirement System - CalPERS,,,,https://calpers.ca.gov/resources/js/jquery.min.js,"GTM-TVMFZD9,UA-25763786-1",,
https://calphoneinfo.cpuc.ca.gov/,,"State of California, California Public Utilities Commission",,,,,"G-G77XY5RQCC,UA-1915322-3,UA-3419582-2",,
https://calpip.cdpr.ca.gov/,https://calpip.cdpr.ca.gov/main.cfm,CalPIP Home - California Pesticide Information Portal,,,https://calpip.cdpr.ca.gov/state_templates/state-template-new/js/cagov.core.js,https://code.jquery.com/jquery-3.5.1.min.js,"G-69TD0KNT0F,G-THW4EX8XMS",,
